Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Super Bowl XLVI,2012,N/A,05 Feb 2012,N/A,Sport,Drew Esocoff,N/A,"Tom Brady, Rob Gronkowski, Al Michaels, Eli Manning",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BY2VhYzA5ZjgtZjI0ZS00ZjQyLWJjYWMtYzEwM2RlZTUwYTgzXkEyXkFqcGdeQXVyMjYxMzY2NDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,285,tt1579248,movie,N/A,N/A,N/A,N/A,True
Super Bowl LI,2017,N/A,05 Feb 2017,N/A,Sport,Rich Russo,N/A,"Mark Wahlberg, Lady Gaga, Chrissy Teigen, Elton John","The NFC champion Atlanta Falcons and the AFC champion New England Patriots play for the National Football League championship at NRG Stadium in Houston, Texas.",English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BOTJkYzZmZTAtMzllMC00NWIxLWI4YjMtNzA2ZjNkZWIyNDJmL2ltYWdlXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,293,tt5447518,movie,N/A,N/A,N/A,N/A,True
Super-Hooper-Dyne Lizzies,1925,Not Rated,14 Jun 1925,20 min,"Short, Comedy",Del Lord,"Felix Adler (titles), Frank Capra, Al Giebler (titles), Jefferson Moffitt","Billy Bevan, Andy Clyde, Lillian Knight, John J. Richardson","An eccentric inventor has thought of a way that automobiles can run on radio waves, without gasoline. His plans put him in conflict with the owner of an oil company, who is also pursuing ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNjgzMzMxNjU3NV5BMl5BanBnXkFtZTcwNDU1NDE2Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,121,tt0016375,movie,N/A,N/A,N/A,N/A,True
Smash Cuts!: Super Sci-Fi Short Fest,2001,R,12 Dec 2001,92 min,"Short, Comedy, Horror",N/A,N/A,Scott Forrest,"Compilation of 6 Sci-Fi short films, including: Airtime (1998), Amplifier (1999), Bubblepac (1998), Duel on Planet Z (1999), Intransit (2000) and Megahurtz (1998).",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BY2Q3NTA1NzItN2QxMi00MjhlLWEwOWQtNjMwMjUxOTg0M2ZjXkEyXkFqcGdeQXVyNjYzMzkzNDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,23,tt0376893,movie,N/A,N/A,N/A,N/A,True
Super Tanker,2011,PG-13,29 Jan 2011,83 min,"Action, Fantasy, Sci-Fi",Jeffery Scott Lando,"Nate Atkins, Jeffery Scott Lando","Callum Blue, David Schofield, Jon Mack, Jacky Woo","A Super Tanker is commissioned to safely carry a deadly, and quite unstable, cold war artifact (ICE-10, an anti-matter weapon developed from fragments of a meteor), and drop it in the deepest ocean trench.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTczNzkwMTAyMF5BMl5BanBnXkFtZTcwMTg3MDUzNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.0/10'}]",N/A,3.0,937,tt1776309,movie,23 Jul 2013,N/A,Origin Releasing,N/A,True
The Adventures of Super Monkey,2007,N/A,14 Jul 2007,120 min,"Adventure, History",Kensaku Sawada,Yûji Sakamoto (screenplay),"Shingo Katori, Teruyoshi Uchimura, Atsushi Itô, Eri Fukatsu","On the way to India to get some holy scrolls, priest Tripitaka and his followers are led by Monkey and implored by a princess to protect her people from a warlord and his brother. They've ...",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BMTQyNDc3NjUxOV5BMl5BanBnXkFtZTgwMTU2NTcwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",N/A,4.9,252,tt0938281,movie,N/A,N/A,N/A,N/A,True
LEGO DC Super Hero Girls: Super-villain High,2018,Not Rated,15 May 2018,78 min,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",Elsa Garagarza,"Jeremy Adams, James Krieg (story editor), Jerry Siegel (based on the characters created by), Joe Shuster (based on the characters created by), John Ostrander (character created by: Amanda Waller), John Byrne (character created by: Amanda Waller), Arnold Drake (character created by: Beast Boy), Bob Rozakis (character created by: Bumblebee), Jose Delbo (character created by: Bumblebee), Marv Wolfman (character created by: Cyborg), George Pérez (character created by: Cyborg), Gardner Fox (character created by: Doctor Fate), Bob Haney (character created by: Eclipso), Gerry Conway (character created by: Frost), Al Milgrom (character created by: Frost), Paul Dini (character created by: Harley Quinn), Bruce Timm (character created by: Harley Quinn), Mike W. Barr (character created by: Katana), Jim Aparo (character created by: Katana), Jack Kirby (characters created by: Lashina and Oberon), William Moulton Marston (character created by: Wonder Woman)","Yvette Nicole Brown, Greg Cipes, Romi Dames, John DiMaggio","The girls discover a new high school, but soon realize that the school is for supervillains. Wonder Woman, Harley Quinn, Poison Ivy, Supergirl, Batgirl, Katana, and Bumblebee come together ...",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BZjQ1MDZjYmMtNDJjZC00MjJiLWE5MjctZWQ1NTA3M2NlNjAwXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}]",N/A,4.9,276,tt8050266,movie,N/A,N/A,DC Entertainment,N/A,True
Super Gidget,2019,TV-Y7,27 Aug 2019,4 min,"Animation, Short, Adventure, Comedy, Family","Boris Jacq, Glenn McCoy","Eric Favela (story by), Brett Konner (screenplay by)","Jenny Slate, Patton Oswalt, Gilbert Gottfried, Bobby Moynihan","When Max is kidnapped by an army of squirrels, Super Gidget is the only one who can save him. It turns out that Max's captor is a flea with the power of mind control. Gidget must use her ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZmRiMmRiNjgtZGJhOS00ZGFhLWFkYzUtYjE2ZTM1MTAzNWI4XkEyXkFqcGdeQXVyMTA2MDcxNjk0._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,126,tt10627764,movie,N/A,N/A,N/A,N/A,True
Super Lopez,2018,N/A,23 Nov 2018,108 min,"Action, Comedy, Sci-Fi",Javier Ruiz Caldera,"Jan (based on characters created by), Borja Cobeaga, Diego San José","Dani Rovira, Alexandra Jiménez, Julián López, Maribel Verdú","Juan López, an ordinary and anonymous office worker, decides to expose his superpowers to turn into the first Spanish superhero: Superlópez.",Spanish,Spain,2 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BNGY2ZDRhZjQtOGQzMS00OTNhLWE3ZDUtMTA0MmY1NWFmODcxXkEyXkFqcGdeQXVyMzkwMTMxNDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,"2,897",tt4110388,movie,N/A,N/A,N/A,N/A,True
Lego DC Comics Super Heroes: Justice League vs. Bizarro League,2015,TV-Y7-FV,28 Jan 2015,49 min,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",Brandon Vietti,"Michael Jelenic, Jerry Siegel (character created by: Superman), Joe Shuster (character created by: Superman), Bob Kane (character created by: Batman), Marv Wolfman (characters created by: Deathstroke & Cyborg), George Pérez (characters created by: Deathstroke & Cyborg), Jack Kirby (characters created by: Darkseid & Desaad), Gardner Fox (character created by: Hawkman), Jack Cole (character created by: Plastic Man), William Moulton Marston (character created by: Wonder Woman)","Diedrich Bader, Troy Baker, John DiMaggio, Tom Kenny",It's up to the Justice League to team up with their bizarre counterparts to stop Darkseid and save the galaxy!,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjIzMTYxMjk5MV5BMl5BanBnXkFtZTgwMjY5OTgyNDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}]",N/A,5.9,"1,703",tt4189260,movie,N/A,N/A,Warner Bros. Animation,N/A,True
