Title,Year,imdbID,Type,Poster
Sanjay's Super Team,2015,tt4661600,movie,https://m.media-amazon.com/images/M/MV5BMDQ3NjJlOTgtYTVlNC00ZGU3LTgxNDMtZWNiM2Y5OTljM2FiXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg
Kyaa Super Kool Hain Hum,2012,tt2027138,movie,https://m.media-amazon.com/images/M/MV5BN2JlZGYzY2EtYWUzNC00OWMwLWEyZjktNmZkNGM4Mjg4ZDdlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg
Super Size Me 2: Holy Chicken!,2017,tt7215262,movie,https://m.media-amazon.com/images/M/MV5BMWVkOTBjMWYtNzE4Zi00MGU5LWI0YTktZWM2ZmQ2ZDFiYzU3XkEyXkFqcGdeQXVyMjE4NzUxNDA@._V1_SX300.jpg
Super Lopez,2018,tt4110388,movie,https://m.media-amazon.com/images/M/MV5BNGY2ZDRhZjQtOGQzMS00OTNhLWE3ZDUtMTA0MmY1NWFmODcxXkEyXkFqcGdeQXVyMzkwMTMxNDQ@._V1_SX300.jpg
HK: Forbidden Super Hero,2013,tt2708764,movie,https://m.media-amazon.com/images/M/MV5BMTA4NDAyMjAxNjVeQTJeQWpwZ15BbWU4MDY1MjkwMTMx._V1_SX300.jpg
Super Shark,2011,tt1698008,movie,https://m.media-amazon.com/images/M/MV5BMjI3MzgxNDAxN15BMl5BanBnXkFtZTcwNzM0NzAzOA@@._V1_SX300.jpg
Super Fantozzi,1986,tt0090101,movie,https://m.media-amazon.com/images/M/MV5BMDRiYjI1ZDctMWQ0MC00NzIzLTk5MTAtMDVjNGM0MGRhZmNiXkEyXkFqcGdeQXVyNjA4MDAyNTQ@._V1_SX300.jpg
Jay and Silent Bob's Super Groovy Cartoon Movie,2013,tt2783020,movie,https://m.media-amazon.com/images/M/MV5BMTQ3NDczMjc1NF5BMl5BanBnXkFtZTgwMzg5MTQ3MTE@._V1_SX300.jpg
Lego DC Comics Super Heroes: Justice League vs. Bizarro League,2015,tt4189260,movie,https://m.media-amazon.com/images/M/MV5BMjIzMTYxMjk5MV5BMl5BanBnXkFtZTgwMjY5OTgyNDE@._V1_SX300.jpg
Super Hybrid,2010,tt1152827,movie,https://m.media-amazon.com/images/M/MV5BMjI0MzUwMjIwN15BMl5BanBnXkFtZTcwNDI2OTE3NQ@@._V1_SX300.jpg
Super Bowl XLVI,2012,tt1579248,movie,https://m.media-amazon.com/images/M/MV5BY2VhYzA5ZjgtZjI0ZS00ZjQyLWJjYWMtYzEwM2RlZTUwYTgzXkEyXkFqcGdeQXVyMjYxMzY2NDk@._V1_SX300.jpg
Super Bowl XLV,2011,tt1426337,movie,N/A
LEGO DC Super Hero Girls: Super-villain High,2018,tt8050266,movie,https://m.media-amazon.com/images/M/MV5BZjQ1MDZjYmMtNDJjZC00MjJiLWE5MjctZWQ1NTA3M2NlNjAwXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg
Super-Sleuth,1937,tt0029622,movie,https://m.media-amazon.com/images/M/MV5BMzllNDY5YWQtMmYxYy00NTIyLTgxYzktMzA5NTYwNjI1YmNmXkEyXkFqcGdeQXVyNTY4NjI2OTA@._V1_SX300.jpg
Super Bowl XXXII,1998,tt0478286,movie,https://m.media-amazon.com/images/M/MV5BMTQzNzk2OTIxNV5BMl5BanBnXkFtZTcwMzIwODIzMQ@@._V1_SX300.jpg
